year,county_5dcode,pop
1969,17037,71604
1969,17039,16923
1969,17041,19040
1969,17043,476870
1969,17045,21666
1969,17047,7116
1969,17049,24170
1969,17051,20611
1969,17053,16863
1969,17055,37540
1969,17057,41531
1969,17059,7250
1969,17061,17166
1969,17063,26003
1969,17065,8626
1969,17067,23915
1969,17069,4904
1969,17071,8462
1969,17073,53703
1969,17075,33223
1969,17077,54147
1969,17079,10759
1969,17081,31565
1969,17083,17997
1969,17085,21450
1969,17087,7559
1969,17089,248250
1969,17091,96402
1969,17093,25994
1969,17095,61132
1969,17097,381121
1969,17099,111085
1969,17101,17332
1969,17103,37976
1969,17105,39982
1969,17107,33414
1969,17109,36173
1969,17111,111185
1969,17113,102258
1969,17115,124840
1969,17117,44425
1969,17119,249077
1969,17121,38465
1969,17123,13308
1969,17125,15909
1969,17127,14076
1969,17129,9613
1969,17131,17326
1969,17133,19120
1969,17135,30107
1969,17137,35520
1969,17139,13073
1969,17141,43041
1969,17143,193248
1969,17145,19522
1969,17147,15383
1969,17149,19205
1969,17151,3815
1969,17153,8633
1969,17155,4986
1969,17157,30767
1969,17159,16603
1969,17161,166824
1969,17163,287583
1969,17165,25142
1969,17167,158691
1969,17169,8278
1969,17171,6018
1969,17173,22617
1969,17175,7491
1969,17177,48892
1969,17179,116903
1969,17181,15803
1969,17183,96788
1969,17185,12723
1969,17187,21594
1969,17189,13507
1969,17191,16954
1969,17193,17552
1969,17195,62433
1969,17197,244129
1969,17199,48170
1969,17201,247276
1969,17203,27879
1969,18001,26700
1969,18003,277747
1969,18005,56628
1969,18007,11161
1969,18009,15832
1969,18011,30621
1969,18013,8868
1969,18015,17338
1969,18017,40713
1969,18019,74709
1969,18021,23738
1969,18023,30466
1969,18025,8128
1969,18027,26526
1969,18029,29504
1969,18031,22472
1969,18033,30462
1969,18035,128434
1969,18037,30609
1969,18039,126219
1969,18041,26057
1969,18043,55692
1969,18045,18071
1969,18047,16652
1969,18049,16530
1969,18051,30130
1969,18053,84245
1969,18055,26500
1969,18057,53812
1969,18059,35017
1969,18061,20082
1969,18063,53463
1969,18065,52344
1969,18067,82773
1969,18069,34839
1969,18071,33315
1969,18073,20112
1969,18075,23377
1969,18077,26972
1969,18079,19150
1969,18081,60483
1969,18083,41303
1969,18085,47597
1969,18087,20762
1969,18089,543365
1969,18091,104754
1969,18093,37219
1969,18095,136730
1969,18097,792488
1969,18099,34265
1969,18101,10691
1969,18103,39376
1969,18105,84037
1969,18107,33706
1969,18109,43960
1969,18111,11310
1969,18113,31362
1969,18115,4235
1969,18117,16845
1969,18119,11934
1969,18121,14485
1969,18123,19049
1969,18125,12301
1969,18127,85441
1969,18129,21513
1969,18131,12470
1969,18133,26756
1969,18135,28587
1969,18137,20809
1969,18139,20464
1969,18141,245360
1969,18143,16899
1969,18145,37591
1969,18147,16701
1969,18149,18874
1969,18151,19813
1969,18153,19879
1969,18155,6233
1969,18157,108414
1969,18159,16671
1969,18161,6497
1969,18163,168005
1969,18165,16507
1969,18167,113877
1969,18169,35610
1969,18171,8752
1969,18173,27059
1969,18175,19196
1969,18177,78914
1969,18179,23519
1969,18181,20807
1969,18183,23095
1969,19001,9607
1969,19003,6332
1969,19005,14805
1969,19007,14877
1969,19009,9720
1969,19011,22856
1969,19013,132610
1969,19015,26197
